shots,seed,train,test
2,0,0.5361861490344351,0.5113
2,1,0.5399639547381411,0.51672
2,2,0.5337399417874484,0.51544
2,3,0.5295679642076325,0.50976
2,4,0.5362782525619221,0.52098
3,0,0.6150681370968812,0.591
3,1,0.6194485184210957,0.59476
3,2,0.6185633879111778,0.59626
3,3,0.6176782574012599,0.59158
3,4,0.6204366799956602,0.59928
4,0,0.6730574546487694,0.6468
4,1,0.6741369392124524,0.64928
4,2,0.6699243736374727,0.64866
4,3,0.6723807278832502,0.64678
4,4,0.6717281978071555,0.64828
5,0,0.7092588241813909,0.67962
5,1,0.7091409628877422,0.68646
5,2,0.7076235962993115,0.68644
5,3,0.7104444619631944,0.6853
5,4,0.7064832297428828,0.68278
10,0,0.7838462901401613,0.75878
10,1,0.7837799443788359,0.75986
10,2,0.7821439359583879,0.76002
10,3,0.7864173835261133,0.76158
10,4,0.7811862153801964,0.7567
20,0,0.8219810532116422,0.79864
20,1,0.8200796617458926,0.79616
20,2,0.8206759930594528,0.8007
20,3,0.8223385397844309,0.79984
20,4,0.8201327383549529,0.796
50,0,0.8421244068884072,0.8195
50,1,0.8409114502637048,0.8176
50,2,0.8415663219549052,0.82066
50,3,0.8427152744333877,0.82038
50,4,0.8422055828787348,0.8214
100,0,0.8498259789707353,0.82748
100,1,0.8482219726233973,0.8251
100,2,0.8488986993889165,0.82866
100,3,0.8490228049895134,0.8279
100,4,0.8487863018638476,0.8279
200,0,0.852104370468487,0.82986
200,1,0.851547846611722,0.82946
200,2,0.8515486271500905,0.83052
200,3,0.8518975278008254,0.8302
200,4,0.8521917907657628,0.8318
